 matriz_tiles_pallet: .word 26, 61
.byte 
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-1
-1,4,5,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,4,5,-1
-1,0,1,88,88,88,88,88,76,67,76,67,76,67,76,67,76,67,76,67,59,67,59,0,1,-1
-1,4,5,88,88,88,88,88,23,84,85,112,113,113,113,113,113,113,113,113,113,113,116,4,5,-1
-1,0,1,67,76,67,76,67,76,0,1,95,96,96,96,96,96,96,96,109,100,100,101,0,1,-1
-1,4,5,103,104,104,104,104,105,4,5,103,104,104,104,104,105,102,23,95,96,96,97,4,5,-1
-1,0,1,98,59,102,23,98,59,0,1,88,88,88,88,88,88,88,88,88,88,88,88,0,1,-1
-1,4,5,59,98,67,76,59,67,4,5,88,88,88,88,88,88,88,88,88,88,88,88,4,5,-1
-1,0,1,98,59,102,23,98,59,0,1,88,88,88,88,88,88,88,88,88,88,88,88,0,1,-1
-1,4,5,59,98,67,76,59,98,4,5,88,88,88,88,88,88,88,88,88,88,88,88,4,5,-1
-1,0,1,103,104,104,104,104,105,0,1,88,88,88,88,88,88,88,88,88,88,88,88,0,1,-1
-1,4,5,102,59,102,23,102,23,6,7,23,67,23,112,113,113,113,113,113,113,113,116,4,5,-1
-1,0,1,59,102,67,102,67,102,23,67,76,76,67,99,100,110,96,96,96,96,96,97,0,1,-1
-1,4,5,102,59,102,23,102,23,67,102,23,23,102,95,96,97,88,88,88,88,88,88,4,5,-1
-1,0,1,84,85,102,23,102,23,102,23,84,85,84,85,84,85,88,88,88,88,88,88,0,1,-1
-1,4,5,0,1,103,104,104,104,104,105,0,1,0,1,0,1,88,88,88,88,88,88,4,5,-1
-1,0,1,6,7,67,23,67,23,67,23,6,7,6,7,6,7,88,88,88,88,88,88,0,1,-1
-1,4,5,23,67,23,67,23,67,23,67,23,67,23,112,113,116,88,88,88,88,88,88,4,5,-1
