matriz_dialogo_oak_intro: .word 32, 26
.byte 
46,47,48,49,45,50,50,48,47,77,42,41,47,51,41,44,43,48,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,78,53,8,76,19,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

29,77,73,69,77,9,70,0,15,4,70,77,2,8,7,6,4,2,20,75,76,8,74,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,4,69,75,11,78,7,3,8,77,0,8,77,69,73,7,3,8,77,24,25,26,29,27,25,28,74,-1,-1,-1,-1,-1

27,4,73,77,7,8,69,4,77,18,77,36,0,70,11,0,76,6,8,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

27,0,71,77,72,8,3,8,71,77,9,8,70,77,0,10,73,78,77,69,4,77,2,6,0,69,0,69,77,3,4,-1
8,77,24,35,25,62,22,30,30,25,35,77,24,25,26,29,27,25,28,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

22,71,72,4,77,69,73,7,3,8,77,18,77,6,0,1,78,72,0,3,8,77,9,8,70,77,-1,-1,-1,-1,-1,-1
24,25,26,29,27,25,28,30,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

24,0,70,0,77,0,76,5,73,7,71,77,24,25,26,29,27,25,28,30,77,71,16,8,77,-1,-1,-1,-1,-1,-1,-1
69,0,71,2,8,72,4,71,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

25,73,72,70,8,71,77,8,71,77,73,71,0,69,77,9,0,70,0,77,1,0,72,0,76,6,0,70,54,-1,-1,-1
37,4,69,77,10,73,0,7,72,8,77,0,77,69,78,69,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

22,73,77,4,71,72,73,3,8,77,24,25,26,29,27,25,28,30,77,2,8,69,8,77,73,69,0,-1,-1,-1,-1,-1
9,70,8,66,78,71,71,16,8,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

27,0,71,77,9,70,78,69,4,78,70,8,53,66,0,76,4,77,73,69,77,9,8,73,2,8,77,71,8,1,70,4
11,8,2,20,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

39,5,8,70,0,77,69,4,77,3,78,5,0,54,77,30,4,73,77,7,8,69,4,77,18,65,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

35,22,34,74,77,27,73,78,72,8,77,1,4,69,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

39,77,71,73,0,77,9,70,17,9,70,78,0,77,76,4,7,3,0,77,24,25,26,29,27,25,28,-1,-1,-1,-1,-1
4,71,72,19,77,9,70,4,71,72,4,71,77,0,77,2,8,69,4,21,0,70,74,-1,-1,-1,-1,-1,-1,-1,-1,-1

40,69,77,69,73,7,3,8,77,3,4,77,0,11,4,7,72,73,70,0,71,77,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,5,73,0,70,3,0,74,77,22,7,72,16,8,53,11,0,69,8,71,77,76,19,74,-1,-1,-1,-1,-1,-1,-1,-1
