matriz_tiles_tela_combate: .word 20, 15
.byte 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,3,4,5,6,7,8,9,10,2,2
2,2,2,2,2,2,2,2,2,2,11,12,13,14,15,16,17,18,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,3,4,5,6,7,8,9,10,2,2,2,2,2,2,2,2,2
2,2,2,11,12,13,14,15,16,17,18,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,19,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,22,2
2,23,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,26,2
2,27,28,28,28,28,28,28,28,28,28,29,28,28,28,28,28,28,30,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
