matriz_tiles_laboratorio: .word 22, 17
.byte
 -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
-1,0,0,0,1,2,2,2,2,2,3,3,3,4,5,4,5,5,0,0,0,-1,
-1,0,0,0,6,7,8,9,8,9,10,10,10,11,12,11,12,12,0,0,0,-1,
-1,0,0,0,13,14,15,16,15,16,17,17,17,18,19,18,19,19,0,0,0,-1,
-1,0,0,0,21,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,-1,
-1,0,0,0,21,29,29,29,29,29,29,29,20,29,20,29,20,29,0,0,0,-1,
-1,0,0,0,21,29,29,29,29,29,29,29,22,29,22,29,22,29,0,0,0,-1,
-1,0,0,0,21,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,-1,

-1,0,0,0,23,24,25,24,25,29,29,29,24,25,24,25,24,25,0,0,0,-1,
-1,0,0,0,11,11,12,11,12,29,29,29,11,12,11,12,11,12,0,0,0,-1,
-1,0,0,0,26,27,28,27,28,29,29,29,27,28,27,28,27,28,0,0,0,-1,
-1,0,0,0,21,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,-1,
-1,0,0,0,36,29,29,29,29,29,29,29,29,29,29,29,29,30,0,0,0,-1,
-1,0,0,0,31,29,29,29,29,32,33,34,29,29,29,29,29,35,0,0,0,-1,
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

