tiles_numeros: .word 6, 100
.byte 199,91,91,91,182,199,
91,182,182,182,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
182,91,91,91,182,182,
199,182,182,182,182,199,
199,199,91,182,199,199,
199,91,91,182,199,199,
199,182,91,182,199,199,
199,199,91,182,199,199,
199,199,91,182,199,199,
199,199,91,182,199,199,
199,199,91,182,199,199,
199,199,91,182,199,199,
199,91,91,91,182,199,
199,182,182,182,182,199,
199,91,91,91,182,199,
91,182,182,182,91,182,
91,182,199,199,91,182,
182,182,199,199,91,182,
199,199,199,91,182,182,
199,199,91,182,182,199,
199,91,182,182,199,199,
91,182,182,199,199,199,
91,91,91,91,91,182,
182,182,182,182,182,182,
199,91,91,91,182,199,
91,182,182,182,91,182,
182,182,199,199,91,182,
199,199,199,199,91,182,
199,199,91,91,182,199,
199,199,182,182,91,182,
199,199,199,199,91,182,
91,199,199,199,91,182,
182,91,91,91,182,182,
199,182,182,182,182,199,
199,199,91,91,182,199,
199,91,182,91,182,199,
199,91,182,91,182,199,
91,182,182,91,182,199,
91,182,199,91,182,199,
91,182,199,91,182,199,
91,91,91,91,91,182,
182,182,182,91,182,182,
199,199,199,91,182,199,
199,199,199,182,182,199,
91,91,91,91,91,182,
91,182,182,182,182,182,
91,182,199,199,199,199,
91,182,199,199,199,199,
91,91,91,91,182,199,
182,182,182,182,91,182,
199,199,199,199,91,182,
91,199,199,199,91,182,
182,91,91,91,182,182,
199,182,182,182,182,199,
199,91,91,91,182,199,
91,182,182,182,91,182,
91,182,199,199,182,182,
91,182,199,199,199,199,
91,91,91,91,182,199,
91,182,182,182,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
182,91,91,91,182,182,
199,182,182,182,182,199,
91,91,91,91,91,182,
182,182,182,182,91,182,
199,199,199,199,91,182,
199,199,199,199,91,182,
199,199,199,91,182,182,
199,199,199,91,182,199,
199,199,91,182,182,199,
199,199,91,182,199,199,
199,199,91,182,199,199,
199,199,182,182,199,199,
199,91,91,91,182,199,
91,182,182,182,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
182,91,91,91,182,199,
91,182,182,182,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
182,91,91,91,182,182,
199,182,182,182,182,199,
199,91,91,91,182,199,
91,182,182,182,91,182,
91,182,199,199,91,182,
91,182,199,199,91,182,
199,91,91,91,91,182,
199,182,182,182,91,182,
199,199,199,199,91,182,
91,182,199,199,91,182,
182,91,91,91,182,182,
199,182,182,182,182,199,


